Deck_Count,Penetration,Total_Hands,TC_-10,TC_-09,TC_-08,TC_-07,TC_-06,TC_-05,TC_-04,TC_-03,TC_-02,TC_-01,TC_+00,TC_+01,TC_+02,TC_+03,TC_+04,TC_+05,TC_+06,TC_+07,TC_+08,TC_+09,TC_+10
6,5.0,10000,0.73,0.26,0.44999999999999996,0.77,1.6199999999999999,2.17,3.2199999999999998,5.510000000000001,8.91,15.950000000000001,22.8,14.81,8.35,5.74,3.42,1.7399999999999998,1.35,0.8500000000000001,0.54,0.25,0.5599999999999999
6,5.25,10000,0.97,0.59,0.8099999999999999,0.88,1.76,2.48,3.2800000000000002,4.590000000000001,9.180000000000001,15.42,22.5,15.89,8.24,4.67,2.98,1.82,1.34,0.8200000000000001,0.59,0.4,0.79
6,5.5,10000,0.84,0.47000000000000003,0.76,0.97,1.3299999999999998,1.76,2.52,4.32,7.79,14.649999999999999,22.0,16.619999999999997,9.16,5.58,3.53,2.63,1.53,0.9400000000000001,0.7799999999999999,0.58,1.24
6,5.75,10000,1.37,0.33999999999999997,0.8999999999999999,0.8699999999999999,2.0500000000000003,1.96,3.9699999999999998,4.569999999999999,9.27,14.27,21.48,13.719999999999999,8.68,5.45,3.54,2.39,2.0500000000000003,0.91,0.7100000000000001,0.25,1.25
8,0.0,10000,0.75,0.3,0.8,0.79,1.28,1.4200000000000002,3.1199999999999997,3.62,6.97,13.8,24.46,16.27,9.879999999999999,5.76,3.44,1.47,1.63,0.89,1.03,0.6,1.72
8,4.0,10000,0.0,0.0,0.0,0.02,0.09,0.35000000000000003,0.83,2.02,7.090000000000001,22.5,36.980000000000004,17.25,7.99,3.0300000000000002,1.41,0.27999999999999997,0.11,0.04,0.01,0.0,0.0
8,4.25,10000,0.0,0.0,0.0,0.0,0.02,0.22,1.3599999999999999,2.62,8.28,20.580000000000002,36.559999999999995,20.06,6.7,2.25,1.13,0.22,0.0,0.0,0.0,0.0,0.0
8,4.5,10000,0.0,0.0,0.0,0.1,0.37,0.63,1.79,3.9800000000000004,8.219999999999999,19.220000000000002,31.81,19.71,9.22,3.3300000000000005,1.0999999999999999,0.3,0.06999999999999999,0.12,0.03,0.0,0.0
8,4.75,10000,0.0,0.0,0.0,0.0,0.15,0.69,1.59,4.82,9.62,18.75,32.269999999999996,18.8,7.7700000000000005,3.6799999999999997,1.22,0.4,0.12,0.05,0.06999999999999999,0.0,0.0
8,5.0,10000,0.0,0.0,0.02,0.13999999999999999,0.38,0.9299999999999999,1.8599999999999999,4.5,7.430000000000001,19.36,32.05,18.35,8.38,3.5999999999999996,2.03,0.5700000000000001,0.29,0.09,0.02,0.0,0.0
8,5.25,10000,0.0,0.02,0.08,0.08,0.25,0.76,2.2399999999999998,4.390000000000001,9.44,19.869999999999997,29.24,18.54,8.58,4.42,1.58,0.37,0.11,0.03,0.0,0.0,0.0
