hand_number,shoe_number,true_count,running_count,remaining_decks,bet_amount,player_cards,dealer_up_card,dealer_hole_card,player_initial_total,dealer_initial_total,player_blackjack,dealer_blackjack,player_actions,player_final_cards,dealer_final_cards,player_final_total,dealer_final_total,outcome,profit,total_wagered
27,1,-2.57,-5,1.94,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 7-9-K-J,N/A,0,0,SIT_OUT,0,0
28,1,-3.75,-7,1.87,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 2-7-A-4,N/A,0,0,SIT_OUT,0,0
29,1,-3.35,-6,1.79,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: A-10-6-3,N/A,0,0,SIT_OUT,0,0
30,1,-3.51,-6,1.71,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 9-7-9-9,N/A,0,0,SIT_OUT,0,0
31,1,-3.67,-6,1.63,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 3-A-7-J,N/A,0,0,SIT_OUT,0,0
32,1,-4.49,-7,1.56,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: Q-9-4-J,N/A,0,0,SIT_OUT,0,0
33,1,-5.4,-8,1.48,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 7-6-3-6,N/A,0,0,SIT_OUT,0,0
34,1,-3.56,-5,1.4,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 3-3-5-K,N/A,0,0,SIT_OUT,0,0
35,1,-2.26,-3,1.33,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 5-10-5-5,N/A,0,0,SIT_OUT,0,0
36,1,-0.8,-1,1.25,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 10-7-Q-6,N/A,0,0,SIT_OUT,0,0
37,1,-1.7,-2,1.17,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: A-K-A-7,N/A,0,0,SIT_OUT,0,0
38,1,-4.56,-5,1.1,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 5-10-K-6,N/A,0,0,SIT_OUT,0,0
39,1,-4.91,-5,1.02,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 10-2-2-Q,N/A,0,0,SIT_OUT,0,0
40,1,-5.31,-5,0.94,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 5-Q-4-K,N/A,0,0,SIT_OUT,0,0
